activity_vector,freezing_vector,animal_name,condition
0.49258562980511145,0,astro3,cxta
0.4857168241048838,0,astro3,cxta
0.537914054196278,0,astro3,cxta
0.4979117034684546,0,astro3,cxta
0.5294941098535465,0,astro3,cxta
0.5006992508044957,0,astro3,cxta
0.518190874067439,0,astro3,cxta
0.5053816091541915,0,astro3,cxta
0.5213307805219913,0,astro3,cxta
0.5456151376212441,0,astro3,cxta
0.5331822538462743,0,astro3,cxta
0.5507364747946759,0,astro3,cxta
0.5380641402173469,0,astro3,cxta
0.5469825547445775,0,astro3,cxta
0.505956413887025,0,astro3,cxta
0.5597309975941627,0,astro3,cxta
0.5458118561079349,0,astro3,cxta
0.5633767865259888,0,astro3,cxta
0.5769432924919933,0,astro3,cxta
0.5770212677907544,0,astro3,cxta
0.6082522591358678,0,astro3,cxta
0.5618246243358205,0,astro3,cxta
0.5630658881356072,0,astro3,cxta
0.5970211639713278,0,astro3,cxta
0.5651007715698326,1,astro3,cxta
0.6108085346083217,1,astro3,cxta
0.5995479851279811,1,astro3,cxta
0.5810972405222533,1,astro3,cxta
0.59824746321363,1,astro3,cxta
0.603420209518462,1,astro3,cxta
0.6149808832539727,1,astro3,cxta
0.5950537822870875,1,astro3,cxta
0.568761862056038,1,astro3,cxta
0.6400683954705733,1,astro3,cxta
0.6004900991499803,1,astro3,cxta
0.563309817476642,1,astro3,cxta
0.5420642005980438,1,astro3,cxta
0.5583361208013239,1,astro3,cxta
0.5916702177172679,1,astro3,cxta
0.5896199850620062,1,astro3,cxta
0.5827784553272323,1,astro3,cxta
0.6111788879569846,1,astro3,cxta
0.6097473764493232,1,astro3,cxta
0.5853053605550865,1,astro3,cxta
0.5480898501495728,1,astro3,cxta
0.5587740514615975,1,astro3,cxta
0.5874154725179499,0,astro3,cxta
0.5468041463902938,0,astro3,cxta
0.557763397608114,0,astro3,cxta
0.5438058657101477,0,astro3,cxta
0.6014011352565065,0,astro3,cxta
0.574085086185775,0,astro3,cxta
0.5802632917190846,0,astro3,cxta
0.5488866566484316,0,astro3,cxta
0.5656834901774568,0,astro3,cxta
0.5811080778722164,0,astro3,cxta
0.5927534031289055,0,astro3,cxta
0.5563450637477355,0,astro3,cxta
0.5712624172022216,0,astro3,cxta
0.5821755586383901,0,astro3,cxta
0.5764915512366076,0,astro3,cxta
0.5671221936863882,0,astro3,cxta
0.562595995647102,0,astro3,cxta
0.5648641143839938,0,astro3,cxta
0.5775058915203328,0,astro3,cxta
0.5592580440440946,0,astro3,cxta
0.55668258682608,0,astro3,cxta
0.5598072266362356,0,astro3,cxta
0.5432350201203417,0,astro3,cxta
0.5369587141767381,0,astro3,cxta
0.5404293015066901,0,astro3,cxta
0.5341316621363233,0,astro3,cxta
0.5564914881900798,0,astro3,cxta
0.5528716649307368,0,astro3,cxta
0.5130573506601819,0,astro3,cxta
0.5070557630066578,0,astro3,cxta
0.5533377074644417,0,astro3,cxta
0.5345127503885394,0,astro3,cxta
0.5148477090662252,0,astro3,cxta
0.5230898277937325,0,astro3,cxta
0.5363691423547888,0,astro3,cxta
0.5582838667824477,0,astro3,cxta
0.5318265985733379,0,astro3,cxta
0.5728268981014931,0,astro3,cxta
0.5292113518637378,0,astro3,cxta
0.5623428373160843,0,astro3,cxta
0.5399759334423941,0,astro3,cxta
0.5379096132588818,0,astro3,cxta
0.5383377079229081,0,astro3,cxta
0.5574880493615652,0,astro3,cxta
0.5156686162349371,0,astro3,cxta
0.5179799068619079,0,astro3,cxta
0.5422374978722009,0,astro3,cxta
0.5315413185224453,0,astro3,cxta
0.5485903120997511,0,astro3,cxta
0.5252949816092561,0,astro3,cxta
0.5442162274501049,0,astro3,cxta
0.5493300645004963,0,astro3,cxta
0.5321163268000034,0,astro3,cxta
0.5159309206143489,0,astro3,cxta
0.5409169140663123,0,astro3,cxta
0.5122236849229191,0,astro3,cxta
0.5418549163599783,0,astro3,cxta
0.5607442080043008,0,astro3,cxta
0.5270063601845598,0,astro3,cxta
0.5440377761739488,0,astro3,cxta
0.5547271101799824,0,astro3,cxta
0.5370655895805139,0,astro3,cxta
0.4866104061925184,0,astro3,cxta
0.5124770710056279,0,astro3,cxta
0.5235820819986535,0,astro3,cxta
0.5449751667855859,0,astro3,cxta
0.5665531553800647,0,astro3,cxta
0.5495178123400661,0,astro3,cxta
0.539654965219577,0,astro3,cxta
0.5304361324906125,0,astro3,cxta
0.5121785950806228,0,astro3,cxta
0.5474145922348365,0,astro3,cxta
0.5201439807478059,0,astro3,cxta
0.5582865202959715,0,astro3,cxta
0.5607319517510415,0,astro3,cxta
0.5456280382190951,0,astro3,cxta
0.5455809098039952,0,astro3,cxta
0.5245907832902995,0,astro3,cxta
0.5346801591346722,0,astro3,cxta
0.541219571779748,0,astro3,cxta
0.5172140964039924,0,astro3,cxta
0.5196406041104732,0,astro3,cxta
0.5454231844279259,0,astro3,cxta
