"","pred_a1","pred_a0","pred_mu","pred_sigma","pred_mu_sigma","variance","mean_peak","mu_1","mu_2","mu_3","mu_4","mu_5","mu_6","mu_7","mu_8","CellID","animal"
"1120","0","0","0.9","0.6","0.3","0.424264068711929","0.9","0.6","1.2",NA,NA,NA,NA,NA,NA,"1120","M5."
"1121","0.1","0","17.5","2.1","8.2","5.02045814642449","14.75","18.3","11.2",NA,NA,NA,NA,NA,NA,"1121","M5."
"1122","0.1","0","7.6","1.1","0.3","0.141421356237309","7.5","7.6","7.4",NA,NA,NA,NA,NA,NA,"1122","M5."
"1123","0","0","1.1","0.6","0.2","0","1.2","1.2","1.2",NA,NA,NA,NA,NA,NA,"1123","M5."
"1124","0.1","0","4.8","1.5","0.3","0.0707106781186545","4.55","4.6","4.5",NA,NA,NA,NA,NA,NA,"1124","M5."
"1125","0","0","2.3","0.5","3.7","2.05060966544099","1.65","0.2","3.1",NA,NA,NA,NA,NA,NA,"1125","M5."
"1126","0.2","0","1.1","3","0.1","0.0707106781186548","1.25","1.2","1.3",NA,NA,NA,NA,NA,NA,"1126","M5."
"1127","0.1","0","1.1","0.6","1.1","1.4142135623731","1.2","0.2","2.2",NA,NA,NA,NA,NA,NA,"1127","M5."
"1128","0.1","0","1.5","0.9","0.9","1.06066017177982","1.25","0.5","2",NA,NA,NA,NA,NA,NA,"1128","M5."
"1129","0.1","0","1.4","2.8","0.1","0.494974746830583","0.95","0.6","1.3",NA,NA,NA,NA,NA,NA,"1129","M5."
"113","0","0","2.2","3","0.2","1.40118997046558","1.63333333333333","3","0.2","1.7",NA,NA,NA,NA,NA,"113","F5."
"1130","0.1","0","3.2","1.1","1.7","0.565685424949238","3.2","3.6","2.8",NA,NA,NA,NA,NA,NA,"1130","M5."
"1131","0.1","0","3.2","1.4","2.8","2.1920310216783","3.75","2.2","5.3",NA,NA,NA,NA,NA,NA,"1131","M5."
"1132","0.1","0","2.9","0.5","0.3","0.212132034355964","2.95","2.8","3.1",NA,NA,NA,NA,NA,NA,"1132","M5."
"1133","0.1","0","2.6","1.7","1.8","1.83847763108502","3.4","2.1","4.7",NA,NA,NA,NA,NA,NA,"1133","M5."
"1134","0","0","0.1","0.4","13.6","20.2939646200539","17.15","2.8","31.5",NA,NA,NA,NA,NA,NA,"1134","M5."
"1135","0.2","0","2","4.4","0.5","0.353553390593274","2.05","1.8","2.3",NA,NA,NA,NA,NA,NA,"1135","M5."
"1136","0.1","0","14.7","1.5","10.6","21.8495995386643","17.85","2.4","33.3",NA,NA,NA,NA,NA,NA,"1136","M5."
"1137","0.1","0","4.3","0.6","3","4.66690475583121","5.5","8.8","2.2",NA,NA,NA,NA,NA,NA,"1137","M5."
"1138","0.1","0","3.4","1.2","2.4","1.27279220613579","3.8","2.9","4.7",NA,NA,NA,NA,NA,NA,"1138","M5."
"1139","0.1","0","4","1.8","3.4","1.90918830920368","5.45","4.1","6.8",NA,NA,NA,NA,NA,NA,"1139","M5."
"114","0","0","2.9","2","7","7.12530701092942","7.6","2.3","15.7","4.8",NA,NA,NA,NA,NA,"114","F5."
"1140","0.1","0","3.9","1","2.6","2.54558441227157","3.9","5.7","2.1",NA,NA,NA,NA,NA,NA,"1140","M5."
"1141","0","0","19.6","0.4","10.4","1.5556349186104","4.3","5.4","3.2",NA,NA,NA,NA,NA,NA,"1141","M5."
"1142","0.2","0","4","5.7","2.9","2.26274169979695","5","3.4","6.6",NA,NA,NA,NA,NA,NA,"1142","M5."
"1143","0.1","0","9.5","1.5","2.8","3.53553390593274","9","6.5","11.5",NA,NA,NA,NA,NA,NA,"1143","M5."
"1144","0.4","0","21.5","12.7","1.7","0.353553390593274","20.85","20.6","21.1",NA,NA,NA,NA,NA,NA,"1144","M5."
"1145","0.1","0","6.9","5.8","6.1","3.18198051533946","7.75","10","5.5",NA,NA,NA,NA,NA,NA,"1145","M5."
"1146","0","0","13.7","0.5","12.1","20.2232539419353","17.8","32.1","3.5",NA,NA,NA,NA,NA,NA,"1146","M5."
"1147","0","0","6.5","0.7","4.5","5.58614357137373","5.65","9.6","1.7",NA,NA,NA,NA,NA,NA,"1147","M5."
"1148","0.1","0","20.6","7.7","3.1","0","20.7","20.7","20.7",NA,NA,NA,NA,NA,NA,"1148","M5."
"1149","0","0","0.1","0.6","0.1","0","0.2","0.2","0.2",NA,NA,NA,NA,NA,NA,"1149","M5."
"115","0","0","38.5","0.5","5.9","2.19393102292058","36.4333333333333","38.9","34.7","35.7",NA,NA,NA,NA,NA,"115","F5."
"1150","0","0","1.7","1.7","5.9","0.919238815542512","1.25","1.9","0.6",NA,NA,NA,NA,NA,NA,"1150","M5."
